Class: Chrome_WidgetWin_1 | ID:  | Name: about:blank - Google Chrome | ControlType: ControlType.Window
                Class: ExtensionsToolbarButton | ID: view_1006 | Name: Extensions | ControlType: ControlType.Button
                Class: ToolbarButton | ID:  | Name: Close side panel | ControlType: ControlType.Button
              Class: ToolbarDivider | ID:  | Name:  | ControlType: ControlType.Pane
              Class: PinnedToolbarActionsContainer | ID:  | Name:  | ControlType: ControlType.Pane
                Class: ToolbarDivider | ID:  | Name:  | ControlType: ControlType.Pane
              Class: BatterySaverButton | ID:  | Name: Energy Saver is on | ControlType: ControlType.Button
              Class: PerformanceInterventionButton | ID:  | Name: Performance issue alert | ControlType: ControlType.Button
              Class: MediaToolbarButtonView | ID:  | Name: Control your music, videos, and more | ControlType: ControlType.Button
              Class: AvatarToolbarButton | ID: view_1018 | Name: You | ControlType: ControlType.Button
              Class: ToolbarButton | ID:  | Name: New tab | ControlType: ControlType.Button
              Class: OverflowButton | ID:  | Name: Hidden toolbar buttons | ControlType: ControlType.Button
              Class: BrowserAppMenuButton | ID: view_1007 | Name: Chrome | ControlType: ControlType.Button
            Class: BookmarkBarView | ID: view_1025 | Name: Bookmarks | ControlType: ControlType.ToolBar
              Class: ShortcutButton | ID: view_1028 | Name: Apps | ControlType: ControlType.Button
              Class: BookmarkFolderButton | ID: view_1027 | Name: Managed bookmarks | ControlType: ControlType.Button
              Class: SavedTabGroupBar | ID:  | Name: Saved Tab Groups | ControlType: ControlType.ToolBar
                Class: SavedTabGroupOverflowButton | ID:  | Name: Tab groups | ControlType: ControlType.Button
              Class: BookmarkBarView::ButtonSeparatorView | ID:  | Name: Separator | ControlType: ControlType.Separator
              Class: BookmarkMenuButtonBase | ID:  | Name: Menu containing hidden bookmarks | ControlType: ControlType.Button
              Class: BookmarkFolderButton | ID: view_1026 | Name: All Bookmarks | ControlType: ControlType.Button
              Class: BookmarkBarView::ButtonSeparatorView | ID:  | Name: Separator | ControlType: ControlType.Separator
